address,data_source,property_status,sale_amount,sale_date,multi_lot_sale,land_area
"76 BROOME ST, COTTESLOE",RES,Non Strata,3480000,2007-06-01,N,801.783
"4 FORREST ST, COTTESLOE",RES,Non Strata,3475000,2007-05-14,N,794
"104 BROOME ST, COTTESLOE",RES,Strata,3475000,2017-06-15,N,830
"354 MARMION ST, COTTESLOE",RES,Non Strata,3460000,2021-05-25,N,574.148
"46 LYONS ST, COTTESLOE",RES,Non Strata,3450000,2022-02-13,N,644.968
"5 GERALDINE ST, COTTESLOE",RES,Non Strata,3450000,2019-07-10,N,708.144
"2-6 NAPOLEON ST, COTTESLOE",COM,Non Strata,3450000,2003-06-30,Y,404.686
"2-6 NAPOLEON ST, COTTESLOE",COM,Non Strata,3450000,2003-06-30,Y,589.323
"324 MARMION ST, COTTESLOE",RES,Non Strata,3445000,2023-08-30,N,693.024
"2 A OZONE PDE, COTTESLOE",RES,Vacant,3420000,2018-10-16,N,452
"20 FORREST ST, COTTESLOE",RES,Non Strata,3420000,2022-07-02,N,488
"33 HAWKSTONE ST, COTTESLOE",RES,Non Strata,3400000,2023-02-07,N,749
"12 TORRENS ST, COTTESLOE",RES,Non Strata,3400000,2023-06-23,N,405
"11 HAMERSLEY ST, COTTESLOE",RES,Non Strata,3400000,2015-12-01,N,325
"4 A BEACH ST, COTTESLOE",RES,Non Strata,3400000,2021-09-03,N,506
"42 BROOME ST, COTTESLOE",RES,Non Strata,3400000,2011-08-06,N,764
"40 BROOME ST, COTTESLOE",RES,Non Strata,3400000,2010-10-01,N,921
"2 A WEBB ST, COTTESLOE",RES,Non Strata,3400000,2014-10-29,N,461
